SMILES,PIC50,LABEL,USED_AS,SOURCE
Clc1ccc(c(c1)c2ccncc2)c3cccc4cc(ccc34)S(=O)(=O)Nc5ncns5,4.52,Weak blocker,Dev-set,CHEMBL
COCCOc1ccc2c(NC3(CCN(CC3)C(=O)c4ccc(OC)c(c4)N(C)C)c5cccn25)c1,5.65,Moderate blocker,Dev-set,CHEMBL
Fc1cc(OCC23CC4CC(CC(C4)C2)C3)c(cc1C(=O)NS(=O)(=O)N5CC(F)(F)C5)C6CC6,6.49,Strong blocker,Dev-set,CHEMBL
CCC1CN(c2ccc(cc2O1)S(=O)(=O)Nc3nccs3)c4ccc(cc4C#N)C(F)(F)F,5.0,Moderate blocker,Dev-set,CHEMBL
CN(C)S(=O)(=O)NC(=O)c1cc(Cl)c(OC2CC3CC2C4CCCC34)cc1F,5.11,Moderate blocker,Dev-set,CHEMBL
Cc1cc(cnc1CO)c2cccc3OC[C@H](Cc23)NC(=O)c4ccc(OCCOCC(F)(F)F)nc4,5.3,Moderate blocker,Dev-set,CHEMBL
FC(F)(F)c1ccc(cc1Cl)N2CCOc3cc(ccc23)S(=O)(=O)Nc4nccs4,5.0,Moderate blocker,Dev-set,CHEMBL
OC(COc1ccc(cc1)C(F)(F)F)CN2CCC(CC2)C(=O)Nc3ccccc3,5.47,Moderate blocker,Dev-set,CHEMBL
COc1cc(ccc1c2cccc3cc(ccc23)S(=O)(=O)Nc4ncccn4)C(F)(F)F,4.52,Weak blocker,Dev-set,CHEMBL
COc1ncc(cn1)c2c(C)ccc(F)c2CCNC(=O)c3ccc(OCC(F)(F)F)nc3,5.6,Moderate blocker,Dev-set,CHEMBL
CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CSSC[C@@H]3NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)N)NC(=O)[C@@H]4CCCN4C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@@H](N)CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](Cc5ccccc5)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N2)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@H](Cc6c[nH]c7ccccc67)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc8cccc9ccccc89)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CO)NC3=O)[C@@H](C)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc%10ccc(O)cc%10)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc%11ccccc%11)C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H]%12CCCN%12C1=O)C(C)C,6.05,Strong blocker,Dev-set,CHEMBL
Cc1ccc(cc1F)N2CCOc3cc(ccc23)S(=O)(=O)Nc4nccs4,5.0,Moderate blocker,Dev-set,CHEMBL
N[C@@H]1CC[C@@](CCOc2cc(F)c(cc2F)S(=O)(=O)Nc3ncns3)(CC1)c4ccccc4,4.52,Weak blocker,Dev-set,CHEMBL
COc1ccccc1c2cncc3cc(ccc23)S(=O)(=O)Nc4nccs4,4.52,Weak blocker,Dev-set,CHEMBL
Cl.Nc1nc(c[nH]1)c2ccc(NC(=O)[C@@H]3CCCN3)cc2,4.52,Weak blocker,Dev-set,CHEMBL
Clc1cncc(c1)N2CCOc3cc(ccc23)S(=O)(=O)Nc4nccs4,5.21,Moderate blocker,Dev-set,CHEMBL
CCCCc1oc2ccccc2c1C(=O)c3cc(I)c(OCCN(CC)CC)c(I)c3,5.32,Moderate blocker,Dev-set,CHEMBL
CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCCCN)NC(=O)[C@@H]2CSSCC3NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CO)NC(=O)[C@@H]4CCCN4C(=O)[C@H](CC(=O)N)NC(=O)[C@@H]5CSSCC(NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](CCCCN)NC(=O)C(CSSC[C@H](NC(=O)[C@@H](N)CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](Cc6ccccc6)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(=O)N5)NC3=O)C(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc7c[nH]c8ccccc78)C(=O)N2)C(=O)O,4.6,Weak blocker,Dev-set,CHEMBL
COc1cc(ccc1c2nccc3cc(ccc23)S(=O)(=O)Nc4ccncn4)c5cc(F)ccc5F,4.52,Weak blocker,Dev-set,CHEMBL
FC(F)c1cccnc1c2cccc(c2)C(=O)Nc3cccc(c3c4cccnc4)C(F)(F)F,5.57,Moderate blocker,Dev-set,CHEMBL
COc1cc(ccc1N2C[C@H](C)Oc3cc(ccc23)S(=O)(=O)Nc4nccs4)C#N,5.0,Moderate blocker,Dev-set,CHEMBL
COc1ccc2c(NC3(CCN(CC3)C(=O)c4ccccc4Br)c5cccn25)c1,5.12,Moderate blocker,Dev-set,CHEMBL
O=C(NC1CC1c2ccccc2)N3CCC(CC3)n4cncn4,5.0,Moderate blocker,Dev-set,CHEMBL
CN(C)Cc1cc2CCN(Cc2cc1C)C(=O)c3cc4cc(Cl)ccc4n3C,4.48,Non-blocker,Dev-set,CHEMBL
COc1cc(OCC(C)C)ccc1c2nccc3cc(ccc23)S(=O)(=O)Nc4ccncn4,4.52,Weak blocker,Dev-set,CHEMBL
Cn1cc(c2ccc(c(Cl)c2)C(F)(F)F)c3ccc(cc13)S(=O)(=O)Nc4ncns4,5.0,Moderate blocker,Dev-set,CHEMBL
COc1cccc(OC)c1c2cccc3CN(CCc23)S(=O)(=O)Nc4ncns4,5.0,Moderate blocker,Dev-set,CHEMBL
COc1cc(c(F)cc1c2nccc3cc(ccc23)S(=O)(=O)Nc4ccon4)c5cc(F)cc(F)c5,5.0,Moderate blocker,Dev-set,CHEMBL
CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CSSC[C@@H]3NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)N)NC(=O)[C@@H]4CCCN4C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@@H](N)CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](Cc5ccccc5)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N2)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@H](Cc6c[nH]c7ccccc67)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc8cnc[nH]8)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CO)NC3=O)[C@@H](C)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc9cccc%10ccccc9%10)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc%11ccccc%11)C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H]%12CCCN%12C1=O)C(C)C,5.65,Moderate blocker,Dev-set,CHEMBL
COc1cc2nnc(C(=O)N)c(Nc3ccc(C)cc3F)c2cc1N4CCN(C)CC4,5.22,Moderate blocker,Dev-set,CHEMBL
Brc1ccccc1CNC(=O)C2N(CCc3ccccn3)C(=O)c4ccccc24,4.48,Non-blocker,Dev-set,CHEMBL
CC(C)c1ccccc1\N=C(\N)/NC(=O)c2ccc(C)cc2,5.35,Moderate blocker,Dev-set,CHEMBL
CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CSSC[C@@H]3NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)N)NC(=O)[C@@H]4CCCN4C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@@H](N)CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](Cc5ccccc5)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N2)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@H](Cc6c[nH]c7ccccc67)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc8cnc[nH]8)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CO)NC3=O)[C@@H](C)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc9ccc(O)cc9)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc%10ccccc%10)C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H]%11CCCN%11C1=O)C(C)C,5.3,Moderate blocker,Dev-set,CHEMBL
Nc1ccnc(Nc2ccc(Oc3ccc(Cl)cc3)cc2)n1,6.3,Strong blocker,Dev-set,CHEMBL
CS(=O)(=O)NC(=O)c1cnc(OCC23CC4CC(CC(C4)C2)C3)c(c1)C5CC5,5.59,Moderate blocker,Dev-set,CHEMBL
Cc1coc(CN2N=C3C=CC(=CN3C2=O)c4ccc(OC(F)(F)F)cc4)n1,5.6,Moderate blocker,Dev-set,CHEMBL
CS(=O)(=O)c1ccc2OC3(CCN(CC3)C(=O)Cc4ccc(Cl)cc4Cl)CCc2c1,5.0,Moderate blocker,Dev-set,CHEMBL
Fc1cc(ccc1Cl)[C@@H]2CCNC[C@H]2COc3cc(F)c(cc3F)S(=O)(=O)Nc4ncns4,5.0,Moderate blocker,Dev-set,CHEMBL
